config #	worker1.replicaCount	worker1.resources.requests.cpu	worker1.resources.requests.memory	worker2.replicaCount	worker2.resources.requests.cpu	worker2.resources.requests.memory	worker3.replicaCount	worker3.resources.requests.cpu	worker3.resources.requests.memory	worker4.replicaCount	worker4.resources.requests.cpu	worker4.resources.requests.memory	SLAName	CompletionTime	Successfull	
0	0	5	4	0	3	3	0	1	2	0	1	2	silver	2.132450796	false	
1	1	5	4	0	3	3	0	1	2	0	1	2	silver	19.271017338	true	
2	2	5	4	0	3	3	0	1	2	0	1	2	silver	19.990195166	true	
3	3	5	4	0	3	3	0	1	2	0	1	2	silver	21.271956343	true	
4	0	6	4	0	3	3	0	1	2	0	1	2	silver	2.176406214	false	
5	1	6	4	0	3	3	0	1	2	0	1	2	silver	18.314921312	true	
6	2	6	4	0	3	3	0	1	2	0	1	2	silver	21.248922293	true	
7	3	6	4	0	3	3	0	1	2	0	1	2	silver	24.872552881	true	
8	0	5	4	1	3	3	0	1	2	0	1	2	silver	19.947083482	true	
9	1	5	4	1	3	3	0	1	2	0	1	2	silver	19.033586733	true	
10	2	5	4	1	3	3	0	1	2	0	1	2	silver	20.985999747	true	
11	3	5	4	1	3	3	0	1	2	0	1	2	silver	23.35833032	true	
12	0	6	4	1	3	3	0	1	2	0	1	2	silver	20.980970909	true	
13	1	6	4	1	3	3	0	1	2	0	1	2	silver	23.238355357	true	
14	2	6	4	1	3	3	0	1	2	0	1	2	silver	23.808251799	true	
15	3	6	4	1	3	3	0	1	2	0	1	2	silver	20.804283448	true	
16	0	5	4	2	3	3	0	1	2	0	1	2	silver	23.51493828	true	
17	1	5	4	2	3	3	0	1	2	0	1	2	silver	23.553116293	true	
18	2	5	4	2	3	3	0	1	2	0	1	2	silver	22.355143038	true	
19	3	5	4	2	3	3	0	1	2	0	1	2	silver	22.17530531	true	
20	0	6	4	2	3	3	0	1	2	0	1	2	silver	22.74429972	true	
21	1	6	4	2	3	3	0	1	2	0	1	2	silver	23.016141136	true	
22	2	6	4	2	3	3	0	1	2	0	1	2	silver	22.581135573	true	
23	3	6	4	2	3	3	0	1	2	0	1	2	silver	24.937356217	true	
24	0	5	4	3	3	3	0	1	2	0	1	2	silver	25.273518663	true	
25	1	5	4	3	3	3	0	1	2	0	1	2	silver	23.108194917	true	
26	2	5	4	3	3	3	0	1	2	0	1	2	silver	24.774794792	true	
27	3	5	4	3	3	3	0	1	2	0	1	2	silver	23.45450609	true	
28	0	6	4	3	3	3	0	1	2	0	1	2	silver	22.378906834	true	
29	1	6	4	3	3	3	0	1	2	0	1	2	silver	23.263527691	true	
30	2	6	4	3	3	3	0	1	2	0	1	2	silver	24.317859672	true	
31	3	6	4	3	3	3	0	1	2	0	1	2	silver	24.721474036	true	
32	0	5	4	0	4	3	0	1	2	0	1	2	silver	2.045323686	false	
33	1	5	4	0	4	3	0	1	2	0	1	2	silver	19.597073861	true	
34	2	5	4	0	4	3	0	1	2	0	1	2	silver	22.7767807	true	
35	3	5	4	0	4	3	0	1	2	0	1	2	silver	21.878806157	true	
36	0	6	4	0	4	3	0	1	2	0	1	2	silver	2.128764609	false	
37	1	6	4	0	4	3	0	1	2	0	1	2	silver	18.838662108	true	
38	2	6	4	0	4	3	0	1	2	0	1	2	silver	22.308974161	true	
39	3	6	4	0	4	3	0	1	2	0	1	2	silver	21.30034595	true	
40	0	5	4	1	4	3	0	1	2	0	1	2	silver	19.892444764	true	
41	1	5	4	1	4	3	0	1	2	0	1	2	silver	19.55262561	true	
