config #	worker1.replicaCount	worker1.resources.requests.cpu	worker1.resources.requests.memory	worker2.replicaCount	worker2.resources.requests.cpu	worker2.resources.requests.memory	worker3.replicaCount	worker3.resources.requests.cpu	worker3.resources.requests.memory	worker4.replicaCount	worker4.resources.requests.cpu	worker4.resources.requests.memory	SLAName	CompletionTime	Successfull	
0	0	5	4	0	3	3	0	1	2	0	1	2	silver	2.14245322	false	
1	1	5	4	0	3	3	0	1	2	0	1	2	silver	31.379128325	true	
2	2	5	4	0	3	3	0	1	2	0	1	2	silver	30.504819621	true	
3	3	5	4	0	3	3	0	1	2	0	1	2	silver	31.834764988	true	
4	0	6	4	0	3	3	0	1	2	0	1	2	silver	2.2667935249999998	false	
5	1	6	4	0	3	3	0	1	2	0	1	2	silver	31.434434203	true	
6	2	6	4	0	3	3	0	1	2	0	1	2	silver	31.106264897	true	
7	3	6	4	0	3	3	0	1	2	0	1	2	silver	30.146306178	true	
8	0	5	4	1	3	3	0	1	2	0	1	2	silver	29.890913575	true	
9	1	5	4	1	3	3	0	1	2	0	1	2	silver	30.901318916	true	
10	2	5	4	1	3	3	0	1	2	0	1	2	silver	30.688397641999998	true	
11	3	5	4	1	3	3	0	1	2	0	1	2	silver	30.130535104	true	
12	0	6	4	1	3	3	0	1	2	0	1	2	silver	31.334902413000002	true	
13	1	6	4	1	3	3	0	1	2	0	1	2	silver	29.38312684	true	
14	2	6	4	1	3	3	0	1	2	0	1	2	silver	29.963084202	true	
15	3	6	4	1	3	3	0	1	2	0	1	2	silver	31.905499659	true	
16	0	5	4	2	3	3	0	1	2	0	1	2	silver	29.946830808	true	
17	1	5	4	2	3	3	0	1	2	0	1	2	silver	30.853869266	true	
18	2	5	4	2	3	3	0	1	2	0	1	2	silver	30.03334612	true	
19	3	5	4	2	3	3	0	1	2	0	1	2	silver	31.412572063	true	
20	0	6	4	2	3	3	0	1	2	0	1	2	silver	31.724958364	true	
21	1	6	4	2	3	3	0	1	2	0	1	2	silver	30.053195636	true	
22	2	6	4	2	3	3	0	1	2	0	1	2	silver	30.934967283	true	
23	3	6	4	2	3	3	0	1	2	0	1	2	silver	30.408107608999998	true	
24	0	5	4	3	3	3	0	1	2	0	1	2	silver	30.809092908	true	
25	1	5	4	3	3	3	0	1	2	0	1	2	silver	33.808213532	true	
26	2	5	4	3	3	3	0	1	2	0	1	2	silver	32.440232159	true	
27	3	5	4	3	3	3	0	1	2	0	1	2	silver	26.23117854	true	
28	0	6	4	3	3	3	0	1	2	0	1	2	silver	30.73381132	true	
29	1	6	4	3	3	3	0	1	2	0	1	2	silver	30.96195601	true	
30	2	6	4	3	3	3	0	1	2	0	1	2	silver	28.993727365	true	
31	3	6	4	3	3	3	0	1	2	0	1	2	silver	30.5797247	true	
32	0	5	4	0	4	3	0	1	2	0	1	2	silver	2.116773019	false	
33	1	5	4	0	4	3	0	1	2	0	1	2	silver	31.13387083	true	
34	2	5	4	0	4	3	0	1	2	0	1	2	silver	29.87183857	true	
35	3	5	4	0	4	3	0	1	2	0	1	2	silver	31.697444394	true	
36	0	6	4	0	4	3	0	1	2	0	1	2	silver	2.100394742	false	
37	1	6	4	0	4	3	0	1	2	0	1	2	silver	30.262791639	true	
38	2	6	4	0	4	3	0	1	2	0	1	2	silver	30.943686899	true	
39	3	6	4	0	4	3	0	1	2	0	1	2	silver	30.490229455	true	
40	0	5	4	1	4	3	0	1	2	0	1	2	silver	29.626395875	true	
41	1	5	4	1	4	3	0	1	2	0	1	2	silver	31.496234804	true	
42	2	5	4	1	4	3	0	1	2	0	1	2	silver	29.334647407	true	
43	3	5	4	1	4	3	0	1	2	0	1	2	silver	31.24253413	true	
44	0	6	4	1	4	3	0	1	2	0	1	2	silver	29.201463796	true	
45	1	6	4	1	4	3	0	1	2	0	1	2	silver	29.277457842	true	
46	2	6	4	1	4	3	0	1	2	0	1	2	silver	30.90487589	true	
47	3	6	4	1	4	3	0	1	2	0	1	2	silver	32.440282257	true	
48	0	5	4	2	4	3	0	1	2	0	1	2	silver	30.252534785	true	
49	1	5	4	2	4	3	0	1	2	0	1	2	silver	28.330874156	true	
50	2	5	4	2	4	3	0	1	2	0	1	2	silver	29.586604725	true	
51	3	5	4	2	4	3	0	1	2	0	1	2	silver	31.983411225	true	
52	0	6	4	2	4	3	0	1	2	0	1	2	silver	30.94206955	true	
53	1	6	4	2	4	3	0	1	2	0	1	2	silver	29.239221314	true	
54	2	6	4	2	4	3	0	1	2	0	1	2	silver	30.320698738	true	
55	3	6	4	2	4	3	0	1	2	0	1	2	silver	31.573062836	true	
56	0	5	4	3	4	3	0	1	2	0	1	2	silver	28.276591744	true	
57	1	5	4	3	4	3	0	1	2	0	1	2	silver	31.954093538	true	
