name,timestamp,total_Runtime,run,cache,saveTime,queryStr,loadTime,saveMode,output,queryTime,input,numPartitions,spark.driver.host,spark.driver.port,spark.jars,spark.driver.supervise,spark.app.name,spark.rpc.askTimeout,spark.driver.memory,spark.executor.id,spark.submit.deployMode,spark.master,spark.executor.memory,spark.app.id,description
sql,1609965018722,53897424409,0,false,0,select * from input,53622751185,overwrite,"",274673224,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,4,my-release-spark-worker-1.my-release-spark-headless.default.svc.cluster.local,42957,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210106203002-0004,Run two different SQL queries over the dataset in two different formats
sql,1609965114933,999647193,0,false,0,select * from input,797248841,overwrite,"",202398352,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,4,my-release-spark-worker-1.my-release-spark-headless.default.svc.cluster.local,42957,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210106203002-0004,Run two different SQL queries over the dataset in two different formats
sql,1609965122366,51332645024,0,false,0,"select c0, c6 from input where c0 < -0.9",51201621315,overwrite,"",131023709,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,4,my-release-spark-worker-1.my-release-spark-headless.default.svc.cluster.local,42957,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210106203002-0004,Run two different SQL queries over the dataset in two different formats
sql,1609965214660,895457911,0,false,0,"select c0, c6 from input where c0 < -0.9",778233078,overwrite,"",117224833,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,4,my-release-spark-worker-1.my-release-spark-headless.default.svc.cluster.local,42957,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210106203002-0004,Run two different SQL queries over the dataset in two different formats
sql,1609965222598,48857913400,1,false,0,select * from input,48745423794,overwrite,"",112489606,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,4,my-release-spark-worker-1.my-release-spark-headless.default.svc.cluster.local,42957,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210106203002-0004,Run two different SQL queries over the dataset in two different formats
sql,1609965314596,459150158,1,false,0,select * from input,284163139,overwrite,"",174987019,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,4,my-release-spark-worker-1.my-release-spark-headless.default.svc.cluster.local,42957,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210106203002-0004,Run two different SQL queries over the dataset in two different formats
sql,1609965320564,4910348318,1,false,0,"select c0, c6 from input where c0 < -0.9",4811218250,overwrite,"",99130068,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,4,my-release-spark-worker-1.my-release-spark-headless.default.svc.cluster.local,42957,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210106203002-0004,Run two different SQL queries over the dataset in two different formats
sql,1609965368658,371499785,1,false,0,"select c0, c6 from input where c0 < -0.9",276815870,overwrite,"",94683915,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,4,my-release-spark-worker-1.my-release-spark-headless.default.svc.cluster.local,42957,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210106203002-0004,Run two different SQL queries over the dataset in two different formats
sql,1609965374972,48688599788,2,false,0,select * from input,48586752661,overwrite,"",101847127,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,4,my-release-spark-worker-1.my-release-spark-headless.default.svc.cluster.local,42957,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210106203002-0004,Run two different SQL queries over the dataset in two different formats
sql,1609965467310,611666752,2,false,0,select * from input,485144297,overwrite,"",126522455,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,4,my-release-spark-worker-1.my-release-spark-headless.default.svc.cluster.local,42957,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210106203002-0004,Run two different SQL queries over the dataset in two different formats
